alto-k10	https://www.carwale.com/maruti-suzuki-cars/alto-k10/
wagonr	https://www.carwale.com/maruti-suzuki-cars/wagon-r/
swift	https://www.carwale.com/maruti-suzuki-cars/swift/
baleno	https://www.carwale.com/maruti-suzuki-cars/baleno/
dzire	https://www.carwale.com/maruti-suzuki-cars/dzire/
brezza	https://www.carwale.com/maruti-suzuki-cars/brezza/
grand-vitara	https://www.carwale.com/maruti-suzuki-cars/grand-vitara/
fronx	https://www.carwale.com/maruti-suzuki-cars/fronx/
grand-i10-nios	https://www.carwale.com/hyundai-cars/grand-i10-nios/
i20	https://www.carwale.com/hyundai-cars/i20/
venue	https://www.carwale.com/hyundai-cars/venue/
creta	https://www.carwale.com/hyundai-cars/creta/
verna	https://www.carwale.com/hyundai-cars/verna/
alcazar	https://www.carwale.com/hyundai-cars/alcazar/
exter	https://www.carwale.com/hyundai-cars/exter/
tiago	https://www.carwale.com/tata-cars/tiago/
Tigor	https://www.carwale.com/tata-cars/tigor/
punch	https://www.carwale.com/tata-cars/punch/
altroz	https://www.carwale.com/tata-cars/altroz/
nexon	https://www.carwale.com/tata-cars/nexon/
harrier	https://www.carwale.com/tata-cars/harrier/
safari	https://www.carwale.com/tata-cars/safari/
curvv	https://www.carwale.com/tata-cars/curvv/
bolero	https://www.carwale.com/mahindra-cars/bolero/
xuv-3xo	https://www.carwale.com/mahindra-cars/xuv-3xo/
scorpio-classic	https://www.carwale.com/mahindra-cars/scorpio-classic/
scorpio-n	https://www.carwale.com/mahindra-cars/scorpio-n/
xuv700	https://www.carwale.com/mahindra-cars/xuv700/
thar	https://www.carwale.com/mahindra-cars/thar/
thar-roxx	https://www.carwale.com/mahindra-cars/thar-roxx/
sonet	https://www.carwale.com/kia-cars/sonet/
seltos	https://www.carwale.com/kia-cars/seltos/
carens	https://www.carwale.com/kia-cars/carens/
carnival	https://www.carwale.com/kia-cars/carnival/
ev6	https://www.carwale.com/kia-cars/ev6/
syros	https://www.carwale.com/kia-cars/syros/
glanza	https://www.carwale.com/toyota-cars/glanza/
taisor	https://www.carwale.com/toyota-cars/taisor/
urban-cruiser-hyryder	https://www.carwale.com/toyota-cars/urban-cruiser-hyryder/
innova-hycross	https://www.carwale.com/toyota-cars/innova-hycross/
fortuner	https://www.carwale.com/toyota-cars/fortuner/
camry	https://www.carwale.com/toyota-cars/camry/
amaze	https://www.carwale.com/honda-cars/amaze/
city	https://www.carwale.com/honda-cars/city/
city-hybrid	https://www.carwale.com/honda-cars/city-hybrid/
elevate	https://www.carwale.com/honda-cars/elevate/
astor	https://www.carwale.com/mg-cars/astor/
hector	https://www.carwale.com/mg-cars/hector/
gloster	https://www.carwale.com/mg-cars/gloster/
comet-ev	https://www.carwale.com/mg-cars/comet-ev/
zs-ev	https://www.carwale.com/mg-cars/zs-ev/
windsor-ev	https://www.carwale.com/mg-cars/windsor-ev/
kushaq	https://www.carwale.com/skoda-cars/kushaq/
slavia	https://www.carwale.com/skoda-cars/slavia/
kodiaq	https://www.carwale.com/skoda-cars/kodiaq/
superb	https://www.carwale.com/skoda-cars/superb/
virtus	https://www.carwale.com/volkswagen-cars/virtus/
taigun	https://www.carwale.com/volkswagen-cars/taigun/
tiguan	https://www.carwale.com/volkswagen-cars/tiguan/
Kwid	https://www.carwale.com/renault-cars/kwid/
triber	https://commons.wikimedia.org/wiki/File:2021_Renault_Triber_RXZ_(Indonesia)_front_view.jpg
kiger	https://commons.wikimedia.org/wiki/File:Renault_Kiger_front_20230602.jpg
c3	https://commons.wikimedia.org/wiki/File:Citroen_C3_CC21_front_20230524.jpg
c3-aircross	https://commons.wikimedia.org/wiki/File:2024_Citro%C3%ABn_C3_Aircross_1.2_PureTech_in_TSM_Bandung_outside_01.jpg
basalt	https://commons.wikimedia.org/wiki/File:Citroen_Basalt_Turbo_200_Shine_2025.jpg
ioniq-5	https://www.carwale.com/hyundai-cars/ioniq-5/
Xuv400	https://www.carwale.com/mahindra-cars/xuv400/
Be-6	https://www.carwale.com/mahindra-cars/be-6-sporteq/
xev-9s	https://www.carwale.com/mahindra-cars/xev-9s/
Xev-9e	https://www.carwale.com/mahindra-cars/xev-9e/
creta-electric	https://www.carwale.com/hyundai-cars/creta-electric/







